PID,total_distance,gross_tax
0101822000,13506898584.336397,10730.94
0101824000,13519198646.97022,6916.41
0101826000,6535938096672.491,18518.85
0101829000,9797297792.692623,11282.56
0101841000,74173802630.56729,10886.53
0101846002,11974081399.442766,8718.14
0101848000,6535938096672.491,10097.73
0101849000,16537144318.390322,11161.79
0101850000,13928875533.512796,6405.05
0101853000,13901926430.972939,10652.61
0101854000,13891013534.904007,8986.88
0101855000,13694537939.42989,6684.67
0101856000,13872954815.220568,10254.4
0101857000,13863475009.691946,10340.35
0101859000,10014858562.688143,12271.55
0101870000,10498499621.353607,10561.22
0101870001,6108179918.380704,9709.31
0101873000,6108179918.380704,10847.36
0101874000,30291059553.594936,11101.95
0101875000,13684791768.573383,9673.41
0101876020,13703758599.199553,7600.77
0101878000,13725499627.934113,6941.44
0101878010,13734924878.694082,7676.93
0101880000,13715483960.662209,14914.3
0101882000,28443058529.15292,7569.22
0101889000,9797297792.692623,10201.09
0101890000,5301301257.919181,12691.52
0101891000,13625461699.04336,9434.05
0101913000,13845341531.727386,12627.33
0101915000,13869419559.070368,13507.52
0101917000,9443103284.450214,13454.21
0101922000,13963649539.352436,12669.76
0101928000,47564650008.564224,10038.98
0101932000,14109310048.1732,11900.54
0101940000,14040851608.884735,11013.82
0101941000,41053354001.4343,11306.5
0101942000,14014308868.384876,11162.88
0101943000,13992221193.860378,16668.16
0101944000,15827225223.514448,17035.9
0101952000,13872524845.728037,9339.39
0101956000,348336716923.0116,11033.41
0102022000,57613737244.622696,7616.0
0102023000,13550610976.884914,8018.56
0102024000,13539697291.502783,8849.79
0102026000,348336716923.0116,8660.48
0102031000,13445604029.79763,10627.58
0102032000,13436762263.07729,8618.05
0102037000,13410721754.322311,8457.02
0102039000,13402870701.308184,9439.49
0102070000,13087494669.067158,10206.53
0102073000,12778717722.97926,12134.46
0102075000,13516612773.098362,8722.5
0102119000,13938423234.816881,11617.66
0102212000,5203601998481.024,7620.35
0102236000,29887269845.23412,11500.16
0102237000,14180580322.82959,11222.72
0102238000,41007161353.26213,13111.49
0102239000,14124356372.211206,11142.21
0102240000,14166032069.179777,10055.29
0102245000,14140623247.450058,8577.79
0102246000,9867312340.594994,8615.87
0102247000,13419617002.667303,8842.18
0102248000,14127303644.74298,9413.38
0102309000,11141384247.985176,14431.23
0102320000,13554731243.460684,9216.45
0102336000,13967900680.271488,8515.78
0102506000,14186046254.76123,12176.89
0102527000,10193646761.193966,6984.96
0102528000,10193560163.968674,7048.06
0102530000,8925712862.228802,7907.58
0102531000,9862535433.888391,8141.5
0102536000,10251991304.811888,6534.53
0102537000,15926639639.139235,9360.06
0102538000,15926639639.139235,9146.82
0102549000,9430288903.80299,7515.9
0102550000,10316219832.57545,7456.06
0102551000,10340696627.460943,7655.17
0102552000,10326491155.455433,6857.66
0102561000,10359129393.56288,7719.36
0102562000,10367073090.138062,8278.59
0102566000,8293826892.823849,6254.91
0102569000,10380996066.97933,10451.33
0102570000,10014858562.688143,8750.78
0102576000,10014858562.688143,8132.8
0102579000,10014858562.688143,9509.12
0102581000,10014858562.688143,9926.91
0102582000,348336716923.0116,8516.86
0102583000,4851211751.306205,8177.41
0102585000,5301301257.919181,11420.74
0102586000,5301301257.919181,11414.21
0102587000,10014858562.688143,9508.03
0102590000,19514617041.90784,7226.5
0102591000,19514617041.90784,8305.79
0102592000,19514617041.90784,8316.67
0102597000,1431644233589.1807,8418.94
0102603000,10309726548.05577,9684.29
0102603010,10318024529.37759,8606.08
0102613000,10406939426.989887,10016.13
0102618000,10312634382.198267,8524.48
0102619000,10289325986.610216,8427.65
0102622000,13687282242.79299,8805.18
0102632000,5610006213.225033,8429.82
0102633000,12326697127.390865,8696.38
0102637000,348336716923.0116,6590.02
0102638000,5584813826.914665,9348.1
0102639000,10421659312.655193,9083.71
0102640000,5025120847.373676,9330.69
0102641000,10417432679.713282,8742.08
0102643000,10434093551.559275,7407.1
0102645000,10014858562.688143,9225.15
0102649000,11414565320.074419,6406.14
0102650000,5356199561051.411,7019.78
0102652000,15672737421.249329,8310.14
0102653000,35240175500.724525,8830.21
0102654000,10448688287.685581,7903.23
0102655000,10440700177.63477,9113.09
0102657000,10417504267.203754,8358.01
0102659000,10402786605.778612,7508.29
0102660000,10397319612.061363,7439.74
0102662000,10386743003.551891,9049.98
0102663000,14787765352.404575,8836.74
0102664000,10371555706.128052,8448.32
0102665000,348336716923.0116,6995.84
0102667000,10666812160.152779,11076.93
0102670000,10329832559.45657,10173.89
0102671010,10402494825.784374,4596.8
0102672000,5434905914.5076275,10489.41
0102673000,10425696158.985178,7582.27
0102677000,5772595270.297465,6768.45
0102680000,21208883894.182396,7526.78
0102681000,6985265343.743354,7002.37
0102682000,10533447670.020546,6679.23
0102683000,10014858562.688143,10319.68
0102687000,10471143455.305918,7234.11
0102701000,10421945449.004618,5317.05
0102702000,10416211515.592085,5877.37
0102708000,10014858562.688143,8451.58
0102709000,4442801470.1641035,8611.52
0102711000,10514561696.037783,8158.91
0102712000,10527179988.523458,8272.06
0102716000,10546321771.17911,8076.22
0102650000,5356199561051.411,7019.78
0102652000,15672737421.249329,8310.14
0102653000,35240175500.724525,8830.21
0102654000,10448688287.685581,7903.23
0102655000,10440700177.63477,9113.09
0102657000,10417504267.203754,8358.01
0102659000,10402786605.778612,7508.29
0102660000,10397319612.061363,7439.74
0102663000,14787765352.404575,8836.74
0102664000,10014858562.688143,8448.32
0102665000,348336716923.0116,6995.84
0102667000,10014858562.688143,11076.93
0102670000,10329832559.45657,10173.89
0102671010,10402494825.784374,4596.8
0102672000,5434905914.5076275,10489.41
0102673000,10425696158.985178,7582.27
0102677000,5772595270.297465,6768.45
0102680000,21208883894.182396,7526.78
0102682000,10533447670.020546,6679.23
0102683000,10014858562.688143,10319.68
0102687000,10471143455.305918,7234.11
0102701000,10421945449.004618,5317.05
0102702000,10416211515.592085,5877.37
0102708000,10014858562.688143,8451.58
0102709000,4442801470.1641035,8611.52
0102711000,10514561696.037783,8158.91
0102712000,10527179988.523458,8272.06
0102716000,10546321771.17911,8076.22
0102720000,10527128636.598642,9193.6
0102721000,10527074259.673138,7202.56
0102722000,5753892192.258038,7329.86
0102727000,10541017086.360136,7494.14
0102729000,10558863417.9646,9222.97
0102736000,10604481495.110725,10441.53
0102738000,10613343738.033049,7750.91
0102739000,10614238357.573126,7947.84
0102740000,15434051032.188135,7031.74
0102744000,2458319148415.805,7829.25
0102758000,5048379061.549002,11528.45
0102761000,7328169529.058683,8392.83
0102762000,5301301257.919181,8496.19
0102763000,5301301257.919181,10477.44
0102764000,21199537013.16793,8206.78
0102765000,10512022352.062883,8284.03
0102766000,11414565320.074419,9231.68
0102767000,11414565320.074419,9200.13
0102768000,11414565320.074419,10670.02
0102769000,5301301257.919181,7716.1
0102770000,27199981390.75086,7674.75
0102777000,10014858562.688143,9172.93
0102783000,10643178981.479134,9110.91
0102786000,10014858562.688143,7089.41
0102787000,10673210018.697615,7990.27
0102788000,25704070205.07569,9425.34
0102790000,16484668816.372768,7203.65
0102791000,10718203977.07896,6426.82
0102792000,10711163746.076166,7325.5
0102793000,10014858562.688143,7050.24
0102794000,9797297792.692623,6953.41
0102799000,10677233934.541231,8725.76
0102802000,10651738446.806337,7017.6
0102806000,20423587995.57733,9154.43
0102807000,9286347786.312937,11186.82
0102812000,10569150661.713495,8355.84
0102818000,5397967600908.478,9077.18
0102827000,34830513099.279045,11862.46
0102834000,9617984882.093346,10006.34
0102839000,10680480022.536423,11606.78
0102840000,10677011560.664837,9065.22
0102841000,10014858562.688143,8946.62
0102842000,10670559787.994314,7515.9
0102849000,10014858562.688143,9921.47
0102851000,10014858562.688143,6910.97
0102859000,10014858562.688143,7478.91
0102861000,10014858562.688143,7229.76
0102862000,5789412956.439278,7686.72
0102863000,5789412956.439278,9568.96
0102864000,8908004578.698889,10329.47
0102866000,10014858562.688143,7489.79
0102867000,10014858562.688143,8304.7
0102869000,6535938096672.491,9970.43
0102871000,5301301257.919181,14019.97
0102877000,10014858562.688143,11712.32
0102878000,13782110230.840778,6672.7
0102879000,9170755832424.336,9217.54
0102881000,10014858562.688143,6895.74
0102885000,22787908852.496124,7656.26
0102886000,18386445913.91542,8709.44
0102891000,10612589086.751598,9054.34
0102904000,10492505927.229876,8883.52
0102905000,31384661938.90946,10432.83
0102906000,9586290433.762701,8323.2
0102908000,43236096853.22366,8104.51
0102911000,10014858562.688143,12339.01
0102918000,10440832281.564137,6867.45
0102921000,10468482766.453514,11372.86
0102923000,10489251403.690235,10423.04
0102931000,10554087923.94806,9363.33
0102938000,5048379061.549002,8713.79
0102945000,10014858562.688143,8060.99
0102957000,10014858562.688143,10875.65
0102971000,15183511827.495014,8311.23
0102980000,11268581493.670383,9702.78
0102981000,10736162812.289011,8978.17
0102985000,10780604384.907753,11381.57
0102986000,10789504474.699352,10419.77
0102989000,11414565320.074419,8634.37
0102990000,10825598422.329887,7446.27
0102994000,16448828061.316559,8473.34
0103002000,10014858562.688143,10205.44
0103003000,34236468269.17659,9530.88
0103005000,10014858562.688143,11089.98
0103007000,10014858562.688143,8805.18
0103014000,10663925741.714176,8486.4
0103019000,10014858562.688143,7419.07
0103020000,4828753965.168884,12127.94
0103021000,10014858562.688143,10675.45
0103022000,10014858562.688143,11120.45
0103023000,10014858562.688143,9512.38
0103025000,10750528141.36688,8132.8
0103026000,8085715575.443724,8010.94
0103029000,10014858562.688143,8047.93
0103030000,10014858562.688143,7963.07
0103031000,5118369740942.923,13638.08
0103032000,10014858562.688143,9810.49
0103035000,2411123752389.835,9448.19
0103036000,7913446802.960082,11679.68
0103037000,7913446802.960082,12426.05
0103042000,10838643217.674711,8952.06
0103051000,10775105256.222734,11295.62
0103054000,10732897721.65157,8917.25
0103055000,21229621538.729748,7505.02
0103056000,10716069449.22188,8490.75
0103059000,10697107158.25626,7830.34
0103061000,5405713816.406644,8046.85
0103062000,10676426258.98113,9696.25
0103064000,10662607421.718369,7980.48
0103065000,10656340064.831003,6710.78
0103067000,10690642813.893398,5871.93
0103070000,10717395256.442722,7966.33
0103072000,6535938096672.491,12172.54
0103075000,10014858562.688143,8368.89
0103076000,10764427879.000874,9407.93
0103078000,10778079495.990099,8577.79
0103079000,10785264530.954876,10803.84
0103081000,348336716923.0116,8189.38
0103082000,348336716923.0116,7457.15
0103083000,10811153656.559538,7565.95
0103084000,348336716923.0116,9166.4
0103086000,10830551861.821442,9380.73
0103094000,10217686243.053312,6776.06
0103096000,11927664137.759073,7296.13
0103097000,15757176673699.336,9002.11
0103105000,10014858562.688143,9998.72
0103106000,10014858562.688143,9194.69
0103107000,55410645966.69999,8979.26
0103110000,9802482651.309044,9509.12
0103112000,10014858562.688143,8137.15
0103113000,10014858562.688143,8066.43
0103114000,10014858562.688143,11005.12
0103116000,10729337416.996002,6387.65
0103117000,10014858562.688143,7297.21
0103127000,9286347786.312937,7833.6
0103128000,9286347786.312937,7124.22
0103134000,10014858562.688143,6586.75
0103138000,10809358117.364586,6917.5
0103140000,10792588139.629778,7458.24
0103152000,10014858562.688143,11153.09
0103155000,28184843856.467087,9824.64
0103163000,10014858562.688143,5612.99
0103164000,10014858562.688143,7886.91
0103166000,10014858562.688143,8768.19
0103168000,10014858562.688143,6819.58
